creditscore,age,tenure,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,france,germany,spain,female,male,tenure_age,age_tenure_product
743.0,43.0,2.0,2,0,1,93228.86,0,0,0,1,0,1,0.0465116279069767,86.0
639.0,43.0,7.0,1,1,1,51113.17,0,0,1,0,1,0,0.1627906976744186,301.0
618.0,35.0,5.0,1,0,1,154843.4,0,0,0,1,0,1,0.1428571428571428,175.0
722.0,40.0,8.0,2,1,0,152843.53,0,1,0,0,0,1,0.2,320.0
712.0,25.0,5.0,2,1,1,79458.73,0,1,0,0,1,0,0.2,125.0
672.0,28.0,5.0,1,1,1,149139.13,0,1,0,0,1,0,0.1785714285714285,140.0
682.0,46.0,10.0,2,0,0,109184.24,0,1,0,0,1,0,0.217391304347826,460.0
730.0,27.0,5.0,2,1,0,133537.53,0,1,0,0,0,1,0.1851851851851851,135.0
506.0,32.0,8.0,2,1,0,53534.8,0,1,0,0,1,0,0.25,256.0
749.0,38.0,6.0,2,1,0,166468.28,0,1,0,0,0,1,0.1578947368421052,228.0
569.0,43.0,3.0,1,0,0,119996.68,1,1,0,0,0,1,0.0697674418604651,129.0
553.0,21.0,3.0,2,1,0,52327.57,0,0,1,0,1,0,0.1428571428571428,63.0
507.0,36.0,8.0,2,1,0,65567.91,0,0,1,0,1,0,0.2222222222222222,288.0
594.0,35.0,2.0,1,1,1,155843.48,0,1,0,0,0,1,0.0571428571428571,70.0
796.0,23.0,3.0,2,0,0,125445.8,1,0,0,1,1,0,0.1304347826086956,69.0
615.0,40.0,10.0,1,1,0,125870.78,1,1,0,0,1,0,0.25,400.0
619.0,28.0,2.0,1,1,0,193880.6,0,1,0,0,0,1,0.0714285714285714,56.0
471.0,28.0,1.0,1,1,0,95890.96,0,0,0,1,0,1,0.0357142857142857,28.0
434.0,29.0,1.0,2,1,1,152880.5,0,0,1,0,0,1,0.0344827586206896,29.0
706.0,30.0,5.0,2,1,1,80425.65,0,0,0,1,0,1,0.1666666666666666,150.0
758.0,46.0,2.0,1,1,0,173486.39,1,1,0,0,1,0,0.0434782608695652,92.0
611.0,48.0,2.0,1,0,1,161435.02,1,1,0,0,1,0,0.0416666666666666,96.0
762.0,29.0,8.0,2,1,0,43075.7,0,1,0,0,0,1,0.2758620689655172,232.0
635.0,36.0,2.0,2,1,1,93835.64,0,1,0,0,0,1,0.0555555555555555,72.0
706.0,42.0,8.0,2,1,0,167778.61,0,1,0,0,1,0,0.1904761904761904,336.0
630.0,38.0,8.0,2,1,0,76614.41,0,0,0,1,1,0,0.2105263157894736,304.0
709.0,37.0,1.0,2,1,1,170819.17,0,1,0,0,1,0,0.027027027027027,37.0
633.0,52.0,3.0,1,0,0,82298.81,1,0,1,0,1,0,0.0576923076923076,156.0
682.0,34.0,5.0,1,0,0,96542.0,0,0,0,1,0,1,0.1470588235294117,170.0
683.0,32.0,2.0,1,0,0,125518.32,0,1,0,0,0,1,0.0625,64.0
644.0,43.0,9.0,1,0,0,162699.8,0,0,0,1,0,1,0.2093023255813953,387.0
731.0,33.0,6.0,2,1,0,109041.53,0,1,0,0,1,0,0.1818181818181818,198.0
611.0,37.0,6.0,2,1,0,149991.32,0,1,0,0,0,1,0.1621621621621621,222.0
592.0,47.0,5.0,1,0,1,133501.45,1,0,1,0,1,0,0.1063829787234042,235.0
571.0,32.0,2.0,1,1,0,125256.53,0,1,0,0,1,0,0.0625,64.0
748.0,28.0,7.0,1,1,1,77951.84,0,0,1,0,1,0,0.25,196.0
613.0,37.0,3.0,2,0,1,142996.89,0,1,0,0,0,1,0.081081081081081,111.0
773.0,43.0,10.0,1,1,0,72678.75,1,1,0,0,0,1,0.2325581395348837,430.0
731.0,23.0,8.0,2,0,0,167723.25,0,1,0,0,0,1,0.3478260869565217,184.0
727.0,26.0,8.0,2,1,1,193008.52,0,1,0,0,0,1,0.3076923076923077,208.0
649.0,43.0,8.0,1,1,1,146411.25,1,0,0,1,1,0,0.1860465116279069,344.0
684.0,26.0,8.0,2,1,0,164074.89,0,1,0,0,1,0,0.3076923076923077,208.0
681.0,34.0,5.0,1,1,1,93829.73,0,1,0,0,0,1,0.1470588235294117,170.0
835.0,37.0,4.0,1,0,0,158043.11,1,1,0,0,1,0,0.1081081081081081,148.0
639.0,27.0,2.0,2,1,1,81753.92,0,1,0,0,0,1,0.074074074074074,54.0
587.0,32.0,8.0,2,1,1,130514.78,0,0,1,0,1,0,0.25,256.0
765.0,36.0,8.0,1,1,1,72924.56,1,0,1,0,1,0,0.2222222222222222,288.0
632.0,42.0,7.0,1,0,1,100101.06,1,0,1,0,1,0,0.1666666666666666,294.0
667.0,39.0,3.0,2,1,0,143622.31,0,0,0,1,0,1,0.0769230769230769,117.0
727.0,28.0,5.0,2,0,0,131763.67,0,1,0,0,0,1,0.1785714285714285,140.0
678.0,25.0,3.0,2,0,1,125794.83,0,0,0,1,1,0,0.12,75.0
684.0,42.0,1.0,2,1,0,142514.28,0,0,1,0,0,1,0.0238095238095238,42.0
850.0,36.0,8.0,2,1,1,71865.31,0,0,0,1,1,0,0.2222222222222222,288.0
674.0,28.0,7.0,1,1,0,151925.25,0,1,0,0,0,1,0.25,196.0
613.0,49.0,2.0,1,1,0,131752.04,1,1,0,0,0,1,0.0408163265306122,98.0
594.0,51.0,2.0,2,1,1,75860.01,1,1,0,0,0,1,0.0392156862745098,102.0
712.0,43.0,4.0,2,0,0,117038.96,0,1,0,0,1,0,0.0930232558139534,172.0
715.0,46.0,2.0,1,1,0,116471.26,1,0,0,1,1,0,0.0434782608695652,92.0
655.0,24.0,3.0,2,0,0,128528.61,0,0,1,0,1,0,0.125,72.0
706.0,38.0,7.0,2,0,0,933.38,0,1,0,0,1,0,0.1842105263157894,266.0
723.0,41.0,6.0,2,1,1,64375.4,0,1,0,0,1,0,0.1463414634146341,246.0
590.0,38.0,9.0,1,1,0,73679.61,0,1,0,0,0,1,0.2368421052631578,342.0
539.0,30.0,1.0,2,1,0,152577.28,0,1,0,0,1,0,0.0333333333333333,30.0
615.0,38.0,3.0,1,1,0,177524.19,0,1,0,0,1,0,0.0789473684210526,114.0
788.0,31.0,10.0,2,1,0,116111.51,0,1,0,0,0,1,0.3225806451612903,310.0
753.0,43.0,1.0,2,1,0,82867.55,0,1,0,0,1,0,0.0232558139534883,43.0
667.0,32.0,9.0,1,1,0,131803.09,0,1,0,0,0,1,0.28125,288.0
517.0,44.0,3.0,1,1,0,98178.57,0,1,0,0,0,1,0.0681818181818181,132.0
740.0,33.0,4.0,2,1,1,85016.64,0,0,0,1,1,0,0.1212121212121212,132.0
684.0,32.0,8.0,1,1,0,187955.74,0,1,0,0,0,1,0.25,256.0
663.0,36.0,7.0,1,0,0,113096.55,0,1,0,0,1,0,0.1944444444444444,252.0
694.0,37.0,8.0,2,0,0,128918.42,0,0,0,1,1,0,0.2162162162162162,296.0
696.0,37.0,2.0,2,1,1,114035.72,0,1,0,0,0,1,0.054054054054054,74.0
721.0,34.0,1.0,2,1,1,183492.9,0,0,0,1,1,0,0.0294117647058823,34.0
578.0,38.0,9.0,2,1,0,61290.99,0,1,0,0,0,1,0.2368421052631578,342.0
632.0,43.0,2.0,2,1,0,24275.32,0,1,0,0,0,1,0.0465116279069767,86.0
610.0,30.0,2.0,2,1,1,176780.38,0,1,0,0,1,0,0.0666666666666666,60.0
663.0,33.0,2.0,2,1,0,138547.22,0,0,0,1,1,0,0.0606060606060606,66.0
718.0,42.0,8.0,1,1,0,126561.07,1,1,0,0,0,1,0.1904761904761904,336.0
765.0,32.0,1.0,1,0,1,62972.13,0,0,1,0,1,0,0.03125,32.0
627.0,33.0,1.0,1,1,1,143881.96,0,1,0,0,0,1,0.0303030303030303,33.0
727.0,32.0,2.0,1,1,0,184514.01,0,1,0,0,0,1,0.0625,64.0
705.0,26.0,3.0,1,1,1,5199.02,0,1,0,0,0,1,0.1153846153846153,78.0
542.0,33.0,8.0,1,1,0,170634.49,0,0,1,0,0,1,0.2424242424242424,264.0
703.0,56.0,8.0,1,1,0,163558.36,1,1,0,0,1,0,0.1428571428571428,448.0
558.0,40.0,7.0,2,0,0,52327.57,0,1,0,0,0,1,0.175,280.0
635.0,37.0,9.0,1,1,0,26389.62,0,0,0,1,1,0,0.2432432432432432,333.0
624.0,29.0,4.0,2,1,1,75578.67,0,0,1,0,0,1,0.1379310344827586,116.0
583.0,35.0,9.0,2,1,1,197325.4,0,0,1,0,0,1,0.2571428571428571,315.0
703.0,50.0,3.0,1,0,0,151516.7,1,0,1,0,1,0,0.06,150.0
590.0,37.0,6.0,2,1,1,72462.25,0,1,0,0,0,1,0.1621621621621621,222.0
718.0,37.0,8.0,2,1,0,70810.8,0,1,0,0,0,1,0.2162162162162162,296.0
625.0,43.0,9.0,2,0,0,56937.43,0,1,0,0,0,1,0.2093023255813953,387.0
645.0,40.0,9.0,1,0,1,187964.55,0,1,0,0,0,1,0.225,360.0
731.0,25.0,9.0,2,1,1,183872.88,0,1,0,0,0,1,0.36,225.0
660.0,33.0,4.0,1,1,0,29664.45,0,0,0,1,0,1,0.1212121212121212,132.0
591.0,32.0,3.0,2,1,0,171070.39,0,0,1,0,0,1,0.09375,96.0
678.0,33.0,2.0,1,1,0,3061.0,1,1,0,0,0,1,0.0606060606060606,66.0
596.0,40.0,7.0,2,1,0,91830.75,0,1,0,0,1,0,0.175,280.0
507.0,29.0,6.0,2,0,0,180626.68,0,1,0,0,1,0,0.2068965517241379,174.0
770.0,32.0,9.0,2,0,1,32683.88,0,1,0,0,1,0,0.28125,288.0
756.0,20.0,2.0,2,1,1,123450.58,0,1,0,0,0,1,0.1,40.0
695.0,56.0,5.0,3,0,0,85185.44,1,0,0,1,1,0,0.0892857142857142,280.0
632.0,32.0,9.0,2,1,1,170819.01,0,1,0,0,1,0,0.28125,288.0
644.0,35.0,2.0,3,1,1,94148.3,0,1,0,0,0,1,0.0571428571428571,70.0
633.0,30.0,10.0,2,1,0,79503.06,0,1,0,0,0,1,0.3333333333333333,300.0
707.0,31.0,5.0,2,0,0,172601.74,0,1,0,0,1,0,0.1612903225806451,155.0
682.0,41.0,5.0,2,0,0,79577.33,0,1,0,0,1,0,0.1219512195121951,205.0
632.0,26.0,10.0,1,1,1,180598.66,0,1,0,0,0,1,0.3846153846153846,260.0
662.0,35.0,2.0,2,1,1,54949.32,0,0,0,1,0,1,0.0571428571428571,70.0
682.0,33.0,9.0,2,1,1,149474.97,0,1,0,0,0,1,0.2727272727272727,297.0
567.0,38.0,5.0,2,1,1,93953.84,0,1,0,0,1,0,0.131578947368421,190.0
645.0,24.0,1.0,1,1,0,170968.47,0,0,1,0,0,1,0.0416666666666666,24.0
773.0,26.0,3.0,1,1,0,64511.44,0,1,0,0,0,1,0.1153846153846153,78.0
593.0,32.0,4.0,2,1,1,131953.94,0,1,0,0,0,1,0.125,128.0
775.0,31.0,7.0,2,1,0,127433.47,0,1,0,0,0,1,0.2258064516129032,217.0
749.0,24.0,4.0,2,1,1,80190.36,1,0,1,0,1,0,0.1666666666666666,96.0
625.0,31.0,3.0,1,1,0,176728.28,0,1,0,0,0,1,0.0967741935483871,93.0
706.0,41.0,4.0,1,0,1,27468.12,0,1,0,0,0,1,0.0975609756097561,164.0
635.0,40.0,7.0,2,1,1,50774.01,0,0,1,0,1,0,0.175,280.0
595.0,41.0,3.0,1,1,1,129955.54,0,0,0,1,1,0,0.073170731707317,123.0
699.0,47.0,1.0,1,1,0,198817.72,1,1,0,0,0,1,0.0212765957446808,47.0
711.0,45.0,9.0,1,1,0,62825.03,0,0,0,1,1,0,0.2,405.0
736.0,36.0,6.0,2,1,1,61164.45,0,1,0,0,0,1,0.1666666666666666,216.0
667.0,44.0,2.0,3,1,1,60906.12,1,0,1,0,0,1,0.0454545454545454,88.0
681.0,50.0,1.0,2,1,1,115287.84,1,0,1,0,0,1,0.02,50.0
731.0,49.0,10.0,1,1,0,92824.92,1,0,1,0,1,0,0.2040816326530612,490.0
611.0,57.0,5.0,1,1,1,19150.14,1,0,1,0,1,0,0.087719298245614,285.0
683.0,41.0,2.0,2,1,0,119882.86,0,1,0,0,0,1,0.048780487804878,82.0
553.0,35.0,3.0,2,1,1,48505.1,0,0,0,1,0,1,0.0857142857142857,105.0
751.0,39.0,8.0,1,1,0,94499.05,1,0,1,0,0,1,0.2051282051282051,312.0
595.0,32.0,5.0,1,0,0,105476.65,1,1,0,0,1,0,0.15625,160.0
670.0,35.0,5.0,1,1,0,119759.24,0,1,0,0,1,0,0.1428571428571428,175.0
741.0,38.0,7.0,2,0,1,176750.81,1,1,0,0,0,1,0.1842105263157894,266.0
543.0,22.0,3.0,2,0,0,127587.22,0,1,0,0,0,1,0.1363636363636363,66.0
588.0,44.0,2.0,2,0,0,86410.53,0,1,0,0,0,1,0.0454545454545454,88.0
754.0,29.0,7.0,1,1,1,114072.91,0,0,1,0,1,0,0.2413793103448276,203.0
691.0,25.0,3.0,2,1,1,106837.06,0,1,0,0,1,0,0.12,75.0
678.0,22.0,6.0,2,1,0,67961.87,0,0,1,0,1,0,0.2727272727272727,132.0
678.0,38.0,2.0,1,1,1,4400.32,0,0,1,0,1,0,0.0526315789473684,76.0
676.0,34.0,5.0,3,1,0,189540.95,1,0,1,0,1,0,0.1470588235294117,170.0
641.0,41.0,9.0,2,1,0,53311.29,0,0,0,1,0,1,0.2195121951219512,369.0
714.0,40.0,4.0,2,1,1,122960.98,0,1,0,0,0,1,0.1,160.0
709.0,34.0,8.0,1,1,1,117828.96,0,1,0,0,0,1,0.2352941176470588,272.0
559.0,27.0,7.0,1,1,0,91763.67,0,0,1,0,1,0,0.2592592592592592,189.0
679.0,40.0,10.0,2,1,1,91622.44,0,1,0,0,0,1,0.25,400.0
663.0,28.0,3.0,1,0,1,55868.97,0,1,0,0,1,0,0.1071428571428571,84.0
523.0,39.0,5.0,1,1,1,92455.96,0,0,0,1,0,1,0.1282051282051282,195.0
754.0,28.0,8.0,2,1,0,194930.3,0,1,0,0,1,0,0.2857142857142857,224.0
621.0,32.0,7.0,2,1,1,126193.54,0,1,0,0,1,0,0.21875,224.0
659.0,39.0,8.0,1,1,1,107890.35,1,0,1,0,0,1,0.2051282051282051,312.0
589.0,37.0,7.0,2,1,0,66796.92,0,1,0,0,0,1,0.1891891891891892,259.0
683.0,33.0,8.0,2,1,1,171378.77,0,1,0,0,1,0,0.2424242424242424,264.0
639.0,33.0,3.0,2,1,1,168816.33,0,1,0,0,1,0,0.0909090909090909,99.0
850.0,39.0,8.0,2,1,0,113946.59,0,0,1,0,0,1,0.2051282051282051,312.0
582.0,41.0,1.0,2,0,1,126477.41,0,1,0,0,1,0,0.024390243902439,41.0
727.0,35.0,9.0,1,1,1,179227.21,0,0,1,0,0,1,0.2571428571428571,315.0
579.0,29.0,4.0,2,0,1,161574.19,0,1,0,0,0,1,0.1379310344827586,116.0
648.0,37.0,3.0,1,1,1,79602.8,0,0,1,0,1,0,0.081081081081081,111.0
730.0,38.0,6.0,2,1,1,178361.04,0,1,0,0,0,1,0.1578947368421052,228.0
679.0,35.0,8.0,1,0,0,164453.98,1,0,0,1,1,0,0.2285714285714285,280.0
642.0,37.0,1.0,2,1,0,142223.94,0,1,0,0,0,1,0.027027027027027,37.0
600.0,31.0,10.0,1,0,1,1710.89,0,1,0,0,0,1,0.3225806451612903,310.0
732.0,37.0,1.0,1,0,1,150784.26,0,0,0,1,0,1,0.027027027027027,37.0
632.0,36.0,2.0,2,1,1,157527.6,0,1,0,0,0,1,0.0555555555555555,72.0
727.0,33.0,10.0,1,1,1,62703.5,0,0,0,1,0,1,0.303030303030303,330.0
698.0,36.0,8.0,2,1,1,13387.88,0,1,0,0,1,0,0.2222222222222222,288.0
699.0,37.0,10.0,1,1,1,77965.44,0,1,0,0,0,1,0.2702702702702703,370.0
682.0,38.0,9.0,1,0,1,106763.58,0,1,0,0,1,0,0.2368421052631578,342.0
648.0,40.0,8.0,2,1,1,137963.0,0,0,1,0,0,1,0.2,320.0
469.0,35.0,3.0,2,1,0,164113.04,0,1,0,0,1,0,0.0857142857142857,105.0
559.0,48.0,8.0,3,1,0,176778.52,1,1,0,0,0,1,0.1666666666666666,384.0
756.0,28.0,2.0,1,1,0,157822.94,1,0,0,1,1,0,0.0714285714285714,56.0
591.0,40.0,2.0,1,1,1,130664.82,0,1,0,0,0,1,0.05,80.0
652.0,40.0,7.0,1,0,1,107890.69,0,0,0,1,1,0,0.175,280.0
762.0,49.0,2.0,2,1,0,161882.81,1,0,1,0,1,0,0.0408163265306122,98.0
691.0,32.0,8.0,2,1,1,58976.8,0,1,0,0,0,1,0.25,256.0
520.0,33.0,3.0,2,1,1,147545.65,0,0,0,1,0,1,0.0909090909090909,99.0
647.0,44.0,6.0,1,1,0,36579.53,0,0,0,1,0,1,0.1363636363636363,264.0
470.0,39.0,5.0,1,0,0,63705.9,0,0,0,1,0,1,0.1282051282051282,195.0
692.0,39.0,1.0,2,1,1,75969.39,0,0,1,0,1,0,0.0256410256410256,39.0
532.0,24.0,8.0,1,0,1,34231.48,0,0,0,1,0,1,0.3333333333333333,192.0
714.0,29.0,1.0,2,1,1,86479.49,0,1,0,0,0,1,0.0344827586206896,29.0
686.0,34.0,2.0,2,1,0,127569.8,0,0,0,1,0,1,0.0588235294117647,68.0
543.0,35.0,7.0,2,0,1,56767.91,0,1,0,0,0,1,0.2,245.0
641.0,55.0,8.0,2,1,0,91285.88,1,0,0,1,1,0,0.1454545454545454,440.0
651.0,46.0,1.0,1,1,1,86190.34,0,1,0,0,0,1,0.0217391304347826,46.0
644.0,30.0,8.0,2,0,1,140929.98,0,0,0,1,0,1,0.2666666666666666,240.0
679.0,47.0,2.0,1,1,1,198266.57,0,1,0,0,1,0,0.0425531914893617,94.0
634.0,57.0,8.0,1,1,0,82647.63,1,1,0,0,0,1,0.1403508771929824,456.0
554.0,37.0,9.0,2,1,1,160110.65,0,0,0,1,0,1,0.2432432432432432,333.0
850.0,35.0,3.0,2,1,1,88743.99,0,0,1,0,1,0,0.0857142857142857,105.0
605.0,30.0,2.0,2,0,0,84760.32,0,1,0,0,0,1,0.0666666666666666,60.0
792.0,50.0,9.0,1,0,1,146875.86,0,0,1,0,0,1,0.18,450.0
582.0,37.0,4.0,2,1,1,152479.64,0,0,0,1,0,1,0.1081081081081081,148.0
638.0,36.0,4.0,1,1,1,76611.33,0,1,0,0,0,1,0.1111111111111111,144.0
616.0,35.0,10.0,1,0,1,97414.92,0,1,0,0,0,1,0.2857142857142857,350.0
593.0,36.0,9.0,1,0,1,177065.24,0,1,0,0,0,1,0.25,324.0
694.0,46.0,7.0,3,1,1,81753.92,1,0,0,1,1,0,0.1521739130434782,322.0
671.0,36.0,6.0,1,1,1,143668.44,0,1,0,0,1,0,0.1666666666666666,216.0
569.0,37.0,9.0,1,1,0,199929.17,0,1,0,0,0,1,0.2432432432432432,333.0
540.0,25.0,3.0,2,1,1,121098.65,0,1,0,0,0,1,0.12,75.0
592.0,41.0,6.0,1,1,1,116471.26,0,0,1,0,0,1,0.1463414634146341,246.0
685.0,39.0,9.0,1,1,0,93982.15,1,1,0,0,1,0,0.2307692307692307,351.0
613.0,40.0,5.0,1,1,1,74760.32,0,0,1,0,0,1,0.125,200.0
821.0,37.0,4.0,2,1,0,148564.76,0,1,0,0,1,0,0.1081081081081081,148.0
822.0,36.0,8.0,1,1,0,179964.5,0,1,0,0,0,1,0.2222222222222222,288.0
850.0,29.0,1.0,1,1,1,164039.51,0,0,1,0,1,0,0.0344827586206896,29.0
683.0,31.0,1.0,2,0,1,131802.44,0,1,0,0,0,1,0.032258064516129,31.0
